author,title
Shakespeare,Sort Alphabetically
Shakespeare,Sort by Release Date
Shakespeare,See also: Wikipedia
Shakespeare,The Complete Works of William Shakespeare
Shakespeare,"Hamlet, Prince of Denmark"
Shakespeare,The Tragedy of Romeo and Juliet
Shakespeare,Macbeth
Shakespeare,Beautiful Stories from Shakespeare
Shakespeare,Romeo and Juliet
Shakespeare,The Tempest
Shakespeare,Shakespeare's Sonnets
Shakespeare,A Midsummer Night's Dream
Shakespeare,Hamlet
Shakespeare,Shakespeare's Tragedy of Romeo and Juliet
Shakespeare,Othello
Shakespeare,"Othello, the Moor of Venice"
Shakespeare,Macbeth
Shakespeare,"Hamlet, Prince of Denmark"
Shakespeare,"Twelfth Night; Or, What You Will"
Shakespeare,The Tragedy of King Lear
Shakespeare,Romeo and Juliet
Shakespeare,The Merchant of Venice
Shakespeare,Much Ado about Nothing
Shakespeare,The Taming of the Shrew
Shakespeare,Julius Caesar
Shakespeare,Dramas de Guillermo Shakspeare [vol. 1] (Spanish)
Shakespeare,The Winter's Tale
Shakespeare,The Merchant of Venice
