symbol,date,closing_price
MSFT,2020-01-31,170.2300
MSFT,2020-01-30,172.7800
MSFT,2020-01-29,168.0400
MSFT,2020-01-28,165.4600
MSFT,2020-01-27,162.2800
MSFT,2020-01-24,165.0400
MSFT,2020-01-23,166.7200
MSFT,2020-01-22,165.7000
MSFT,2020-01-21,166.5000
MSFT,2020-01-17,167.1000
MSFT,2020-01-16,166.1700
MSFT,2020-01-15,163.1800
MSFT,2020-01-14,162.1300
MSFT,2020-01-13,163.2800
MSFT,2020-01-10,161.3400
MSFT,2020-01-09,162.0900
MSFT,2020-01-08,160.0900
MSFT,2020-01-07,157.5800
MSFT,2020-01-06,159.0300
MSFT,2020-01-03,158.6200
MSFT,2020-01-02,160.6200
MSFT,2019-12-31,157.7000
MSFT,2019-12-30,157.5900
MSFT,2019-12-27,158.9600
MSFT,2019-12-26,158.6700
MSFT,2019-12-24,157.3800
MSFT,2019-12-23,157.4100
MSFT,2019-12-20,157.4100
MSFT,2019-12-19,155.7100
MSFT,2019-12-18,154.3700
MSFT,2019-12-17,154.6900
MSFT,2019-12-16,155.5300
MSFT,2019-12-13,154.5300
MSFT,2019-12-12,153.2400
MSFT,2019-12-11,151.7000
MSFT,2019-12-10,151.1300
MSFT,2019-12-09,151.3600
MSFT,2019-12-06,151.7500
MSFT,2019-12-05,149.9300
MSFT,2019-12-04,149.8500
MSFT,2019-12-03,149.3100
MSFT,2019-12-02,149.5500
MSFT,2019-11-29,151.3800
MSFT,2019-11-27,152.3200
MSFT,2019-11-26,152.0300
MSFT,2019-11-25,151.2300
MSFT,2019-11-22,149.5900
MSFT,2019-11-21,149.4800
MSFT,2019-11-20,149.6200
MSFT,2019-11-19,150.3900
MSFT,2019-11-18,150.3400
MSFT,2019-11-15,149.9700
MSFT,2019-11-14,148.0600
MSFT,2019-11-13,147.3100
MSFT,2019-11-12,147.0700
MSFT,2019-11-11,146.1100
MSFT,2019-11-08,145.9600
MSFT,2019-11-07,144.2600
MSFT,2019-11-06,144.0600
MSFT,2019-11-05,144.4600
MSFT,2019-11-04,144.5500
MSFT,2019-11-01,143.7200
MSFT,2019-10-31,143.3700
MSFT,2019-10-30,144.6100
MSFT,2019-10-29,142.8300
MSFT,2019-10-28,144.1900
MSFT,2019-10-25,140.7300
MSFT,2019-10-24,139.9400
MSFT,2019-10-23,137.2400
MSFT,2019-10-22,136.3700
MSFT,2019-10-21,138.4300
MSFT,2019-10-18,137.4100
MSFT,2019-10-17,139.6900
MSFT,2019-10-16,140.4100
MSFT,2019-10-15,141.5750
MSFT,2019-10-14,139.5500
MSFT,2019-10-11,139.6800
MSFT,2019-10-10,139.1000
MSFT,2019-10-09,138.2400
MSFT,2019-10-08,135.6700
MSFT,2019-10-07,137.1200
MSFT,2019-10-04,138.1200
MSFT,2019-10-03,136.2800
MSFT,2019-10-02,134.6500
MSFT,2019-10-01,137.0700
MSFT,2019-09-30,139.0300
MSFT,2019-09-27,137.7300
MSFT,2019-09-26,139.5400
MSFT,2019-09-25,139.3600
MSFT,2019-09-24,137.3800
MSFT,2019-09-23,139.1400
MSFT,2019-09-20,139.4400
MSFT,2019-09-19,141.0700
MSFT,2019-09-18,138.5200
MSFT,2019-09-17,137.3900
MSFT,2019-09-16,136.3300
MSFT,2019-09-13,137.3200
MSFT,2019-09-12,137.5200
MSFT,2019-09-11,136.1200
MSFT,2019-09-10,136.0800
